Producto,CF_kgCO2eq_kg,WF_L_kg,LU_m2_kg,Origin_Score,Waste_pct,NOVA,CF_norm,WF_norm,LU_norm,Origin_norm,Waste_norm,NOVA_norm,Score_México,Score_México_B
Tomate,1.4,214,0.8,0,15.688,1,98.12458137977227,99.55778144813256,99.8097108833098,100.0,66.10199556541019,100.0,91.15882440386926,89.48603510973314
Cebolla,0.3,272,0.4,0,32.08,1,99.96651038178165,99.24876125526133,99.932478055368,100.0,29.75609756097562,100.0,82.31456294133714,78.83992975662287
Papa,0.3,287,0.3,0,37.11,1,99.96651038178165,99.16884223986361,99.96316984838255,100.0,18.603104212860316,100.0,79.51739593130013,75.48910902994996
Lechuga,0.5,237,1.2,0,30.0,1,99.63161419959812,99.43523895785604,99.68694371125162,100.0,34.3680709534368,100.0,83.42074008310249,80.16738168288153
Zanahoria,0.3,131,0.3,0,19.01,1,99.96651038178165,100.0,99.96316984838255,100.0,58.736141906873605,100.0,89.6753290188239,87.61213611416758
Calabaza,0.4,353,0.9,0,14.65,1,99.79906229068989,98.8171985721136,99.77901909029525,100.0,68.40354767184036,100.0,91.87122795641014,90.35054541139647
Chile,0.7,379,1.1,0,20.0,1,99.2967180174146,98.67867227875753,99.71763550426616,100.0,56.5410199556541,100.0,88.80332708376596,86.69644446761079
Pepino,0.5,353,0.9,0,45.46,1,99.63161419959812,98.8171985721136,99.77901909029525,100.0,0.08869179600885957,100.0,74.76739677378849,69.83097143498327
Manzana,0.4,822,0.6,50,28.0,1,99.79906229068989,96.31839735734455,99.8710944693389,50.0,38.80266075388027,100.0,74.10539358260912,71.22960675243591
Naranja,0.3,560,0.5,0,11.99,1,99.96651038178165,97.71431615962491,99.90178626235344,100.0,74.30155210643017,100.0,93.21769063405387,92.04705243139414
Plátano,0.7,790,1.6,50,0.45,1,99.2967180174146,96.48889125685972,99.56417653919343,50.0,99.88913525498891,100.0,89.29654285880773,89.46655505871418
Limón,0.4,642,0.5,0,17.015,1,99.79906229068989,97.27742554211733,99.90178626235344,100.0,63.15964523281596,100.0,90.34156310936041,88.63567409389535
Aguacate,0.5,2047,9.2,0,3.9,1,99.63161419959812,89.79167776652992,97.23160027008778,100.0,92.23946784922394,100.0,96.19652078423397,96.31891028836867
Mango,0.6,1800,2.1,0,5.085,1,99.46416610850636,91.10767755341254,99.41071757412068,100.0,89.6119733924612,100.0,95.9298416548152,95.85505644676763
Frijol,0.9,4055,3.4,0,7.2666666666666675,1,98.96182183523108,79.09318557195375,99.01172426493156,100.0,84.77457501847746,100.0,92.80306729219024,93.08713676451643
Lenteja,0.9,5874,3.7,50,8.0,1,98.96182183523108,69.40167297138899,98.91964888588791,50.0,83.14855875831486,100.0,80.93362879916052,81.62097308850682
Garbanzo,1.0,5520,4.2,0,10.0,1,98.79437374413932,71.28776173477543,98.76618992081518,100.0,78.7139689578714,100.0,90.06743155338657,90.43874191454138
Soya,1.0,4200,6.7,100,1.7,1,98.79437374413932,78.32063508977569,97.99889509545147,0.0,97.11751662971176,100.0,75.64651999206035,76.58636406905714
Maíz tortilla,1.2,1608,2.9,0,6.471428571428571,3,98.4594775619558,92.13064095050349,99.1651832300043,100.0,86.53785239151094,33.33333333333334,85.13949919774706,84.85985976979742
Arroz,2.7,2497,2.9,50,31.58,1,95.94775619557937,87.39410730459801,99.1651832300043,50.0,30.864745011086484,100.0,70.13398410079866,67.30751598612308
Trigo pan,1.6,1827,3.3,0,1.0,3,97.78968519758875,90.96382332569662,99.0424160579461,100.0,98.66962305986696,33.33333333333334,87.88467364925415,88.26996363596268
Avena,2.5,3072,7.1,50,12.0,1,96.2826523777629,84.330545047685,97.87612792339328,50.0,74.27937915742794,100.0,80.4494371955135,79.94687890100064
Pasta,1.4,1849,3.4,50,10.0,3,98.12458137977227,90.84660876977995,99.01172426493156,50.0,78.7139689578714,33.33333333333334,72.92534318839384,72.31871119779841
Leche,1.9,1020,8.9,0,37.14,1,97.28734092431347,95.26346635409452,97.32367564913142,100.0,18.536585365853654,100.0,78.24913499813775,74.41279094872571
Queso fresco,8.5,3178,40.8,0,18.0,3,86.2357669122572,83.76578400554105,87.53299367749064,100.0,60.97560975609756,33.33333333333334,74.4974344444432,73.35792573197102
Queso maduro,13.5,5060,87.8,0,18.0,3,77.86336235766912,73.73861154030583,73.10785096065312,100.0,60.97560975609756,33.33333333333334,70.29498361978595,69.65683353057554
Yogurt,2.2,1020,9.2,0,20.0,3,96.78499665103817,95.26346635409452,97.23160027008778,100.0,56.5410199556541,33.33333333333334,77.66568446669221,75.72956214677018
Mantequilla,11.9,5553,26.2,50,15.0,2,80.54253181513731,71.11193990090042,92.01399545761464,50.0,67.62749445676275,66.66666666666667,68.85644391735781,68.68222164515092
Pollo,6.9,4325,7.1,0,18.0,1,88.91493636972538,77.65464329479461,97.87612792339328,100.0,60.97560975609756,100.0,85.01695218104172,84.18300050410687
Res,60.0,15415,326.0,50,34.87,1,0.0,18.56785124407267,0.0,50.0,23.569844789356992,100.0,33.67763888395015,33.92773856121437
Cerdo,7.6,5988,11.0,0,40.91,1,87.74279973208306,68.79428845436624,96.67914799582591,100.0,10.177383592017748,100.0,70.69282392555442,67.76197868243699
Pescado,13.6,11991,25.0,50,25.0,1,77.69591426657736,36.81069849219457,92.38229697378921,50.0,45.45454545454546,100.0,62.77785797483108,63.21005032294862
Huevo,4.8,3265,3.3,0,37.66,1,92.43134628265238,83.30225371623422,99.0424160579461,100.0,17.383592017738366,100.0,75.61017961006219,72.3142465251374
Aceite vegetal,3.4,14559,10.0,0,5.0,2,94.77561955793703,23.128563056103147,96.98606592597139,100.0,89.80044345898004,66.66666666666667,79.83434484944817,83.16793886959202
Azúcar,1.8,1782,1.8,0,5.0,2,97.45478901540523,91.20358037188981,99.50279295316432,100.0,89.80044345898004,66.66666666666667,90.6991455681557,90.6289887225102
Café,16.5,18900,26.9,100,10.0,2,72.83991962491628,0.0,91.7991529065128,0.0,78.7139689578714,66.66666666666667,49.78439547385657,53.720093921750134
Sandía,0.52,185,0.3,0,0.4,1,99.59812458137978,99.71229154456817,99.96316984838255,100.0,100.0,100.0,99.89287940373045,99.90726482650204
Piña,2.78,1273,0.2,0,21.3,1,95.81379772270596,93.9154989610528,99.99386164139709,100.0,53.65853658536585,100.0,86.87341481304499,84.86056669426064
Guayaba,0.28,1800,0.87,0,5.1,1,100.0,91.10767755341254,99.78822662819962,100.0,89.57871396895787,100.0,96.03965278807131,95.96320460884859
Melón,1.43,185,0.3,0,41.2,1,98.07434695244474,99.71229154456817,99.96316984838255,100.0,9.53436807095342,100.0,77.04790477712855,72.5390086034478
Uva,0.31,608,0.74,0,45.5,1,99.94976557267248,97.45857531035217,99.82812595911854,100.0,0.0,100.0,74.59406372836554,69.72113496284794
Papaya,0.35,460,0.18,0,11.4,1,99.88278633623577,98.24710959560979,100.0,100.0,75.60975609756098,100.0,93.62192341416707,92.49005573926463
